"A01AA","CARIES PROPHYLACTIC AGENTS"
"L01XC08","PANITUMUMAB"
"L01XC10","OFATUMUMAB"
"L01XC11","Ipilimumab"
"L01XC12","Brentuximab vedotin"
"L01XC13","PERTUZUMAB"
"L01XC14","TRASTUZUMAB EMTANSINE"
"L01XC15","OBINUTUZUMAB"
"L01XC20","COMBINATION OF MONOCLONAL ANTIBODIES"
"L01XD01","PORFIMER SODIUM"
"L01XD03","METHYL AMINOLEVULINATE"
"L01XD04","AMINOLEVULINIC ACID"
"L01XE","PROTEIN KINASE INHIBITORS"
"L01XE01","IMATINIB"
"L01XE02","GEFITINIB"
"L01XE03","ERLOTINIB"
"L01XE04","SUNITINIB"
"L01XE05","SORAFENIB"
"L01XE06","DASATINIB"
"L01XE07","LAPATINIB"
"L01XE08","NILOTINIB"
"L01XE09","TEMSIROLIMUS"
"L01XE10","EVEROLIMUS"
"L01XE11","PAZOPANIB"
"L01XE12","VANDETANIB"
"L01XE13","AFATINIB"
"L01XE14","Bosutinib"
"L01XE15","Vemurafenib"
"L01XE16","Crizotinib"
"L01XE17","Axitinib"
"L01XE18","Ruxolitinib"
"L01XE21","REGORAFENIB"
"L01XE23","Dabrafenib"
"L01XE25","TRAMETINIB"
"L01XX01","AMSACRINE"
"L01XX02","ASPARAGINASE"
"L01XX03","ALTRETAMINE"
"L01XX05","HYDROXYCARBAMIDE"
"L01XX08","PENTOSTATIN"
"L01XX11","ESTRAMUSTINE"
"L01XX14","TRETINOIN"
"L01XX17","TOPOTECAN"
"L01XX19","IRINOTECAN"
"L01XX23","MITOTANE"
"L01XX24","PEGASPARGASE"
"L01XX27","ARSENIC TRIOXIDE"
"L01XX32","BORTEZOMIB"
"L01XX35","ANAGRELIDE"
"L01XX38","VORINOSTAT"
"L01XX39","ROMIDEPSIN"
"L01XX41","ERIBULIN"
"L01XX43","VISMODEGIB"
"L01XX44","AFLIBERCEPT"
"L02AA01","DIETHYLSTILBESTROL"
"L02AB01","MEGESTROL"
"L02AE01","BUSERELIN"
"L02AE02","LEUPRORELIN"
"L02AE03","GOSERELIN"
"L02AE04","TRIPTORELIN"
"L02AE05","HISTRELIN"
"L02BA01","TAMOXIFEN"
"L02BA03","FULVESTRANT"
"L02BB01","FLUTAMIDE"
"L02BB02","NILUTAMIDE"
"L02BB03","BICALUTAMIDE"
"L02BB04","ENZALUTAMIDE"
"L02BG01","AMINOGLUTHETIMIDE"
"L02BG02","FORMESTANE"
"L02BG03","ANASTROZOLE"
"L02BG04","LETROZOLE"
"L02BG06","EXEMESTANE"
"L02BX02","DEGARELIX"
"L02BX03","Abiraterone"
"L03AA02","FILGRASTIM"
"L03AA12","ANCESTIM"
"L03AA13","PEGFILGRASTIM"
"L03AB04","INTERFERON ALFA-2A"
"L03AB05","INTERFERON ALFA-2B"
"L03AB06","INTERFERON ALFA-N1"
"L03AB07","INTERFERON BETA-1A"
"L03AB08","INTERFERON BETA-1B"
"L03AB09","INTERFERON ALFACON-1"
"L03AB10","PEGINTERFERON ALFA-2B"
"L03AB11","PEGINTERFERON ALFA-2A"
"L03AB60","PEGINTERFERON ALFA-2B, COMBINATIONS"
"L03AB61","PEGINTERFERON ALFA-2A, COMBINATIONS"
"L03AC01","ALDESLEUKIN"
"L03AX03","BCG VACCINE"
"L03AX12","MELANOMA VACCINE"
"L03AX13","GLATIRAMER ACETATE"
"L03AX16","PLERIXAFOR"
"L04AA02","MUROMONAB-CD3"
"L04AA03","ANTILYMPHOCYTE IMMUNOGLOBULIN (HORSE)"
"L04AA04","ANTITHYMOCYTE IMMUNOGLOBULIN (RABBIT)"
"L04AA06","MYCOPHENOLIC ACID"
"L04AA10","SIROLIMUS"
"L04AA13","LEFLUNOMIDE"
"L04AA15","ALEFACEPT"
"L04AA21","EFALIZUMAB"
"L04AA23","NATALIZUMAB"
"L04AA24","ABATACEPT"
"L04AA25","ECULIZUMAB"
"L04AA26","BELIMUMAB"
"L04AA27","FINGOLIMOD"
"L04AA29","Tofacitinib"
"L04AA31","TERIFLUNOMIDE"
"L04AA32","Apremilast"
"L04AA34","ALEMTUZUMAB"
"L04AB01","ETANERCEPT"
"L04AB02","INFLIXIMAB"
"L04AB04","ADALIMUMAB"
"L04AB05","CERTOLIZUMAB PEGOL"
"L04AB06","GOLIMUMAB"
"L04AC01","DACLIZUMAB"
"L04AC02","BASILIXIMAB"
"L04AC03","ANAKINRA"
"L04AC05","USTEKINUMAB"
"L04AC07","TOCILIZUMAB"
"L04AC08","CANAKINUMAB"
"L04AD01","CICLOSPORIN"
"L04AD02","TACROLIMUS"
"L04AX01","AZATHIOPRINE"
"L04AX02","THALIDOMIDE"
"L04AX03","METHOTREXATE"
"L04AX04","LENALIDOMIDE"
"L04AX05","Pirfenidone"
"L04AX06","Pomalidomide"
"M01AA01","PHENYLBUTAZONE"
"M01AA03","OXYPHENBUTAZONE"
"M01AA51","PHENYLBUTAZONE, COMBINATIONS"
"M01AB01","INDOMETACIN"
"M01AB02","SULINDAC"
"M01AB03","TOLMETIN"
"M01AB05","DICLOFENAC"
"M01AB08","ETODOLAC"
"M01AB15","KETOROLAC"
"M01AB55","DICLOFENAC, COMBINATIONS"
"M01AC01","PIROXICAM"
"M01AC02","TENOXICAM"
"M01AC06","MELOXICAM"
"M01AE01","IBUPROFEN"
"M01AE02","NAPROXEN"
"M01AE03","KETOPROFEN"
"M01AE04","FENOPROFEN"
"M01AE09","FLURBIPROFEN"
"M01AE11","TIAPROFENIC ACID"
"M01AE12","OXAPROZIN"
"M01AE51","IBUPROFEN, COMBINATIONS"
"M01AE52","Naproxen and esomeprazole"
"M01AG01","MEFENAMIC ACID"
"M01AH01","CELECOXIB"
"M01AH02","ROFECOXIB"
"M01AH03","VALDECOXIB"
"M01AH06","LUMIRACOXIB"
"M01AX01","NABUMETONE"
"M01AX14","ORGOTEIN"
"M01CB01","SODIUM AUROTHIOMALATE"
"M01CB03","AURANOFIN"
"M01CB04","AUROTHIOGLUCOSE"
"M01CC01","PENICILLAMINE"
"M02AA09","BUFEXAMAC"
"M02AA15","DICLOFENAC"
"M02AB","CAPSAICIN AND SIMILAR AGENTS"
"M02AB01","CAPSAICIN"
"M02AB02","ZUCAPSAICIN"
"M02AC","PREPARATIONS WITH SALICYLIC ACID DERIVATIVES"
"M02AX03","DIMETHYL SULFOXIDE"
"M02AX10","VARIOUS"
"M03AA02","TUBOCURARINE"
"M03AA04","DIMETHYLTUBOCURARINE"
"M03AB01","SUXAMETHONIUM"
"M03AC01","PANCURONIUM"
"M03AC02","GALLAMINE"
"M03AC03","VECURONIUM"
"M03AC04","ATRACURIUM"
"M03AC07","DOXACURIUM CHLORIDE"
"M03AC09","ROCURONIUM BROMIDE"
"M03AC10","MIVACURIUM CHLORIDE"
"M03AC11","CISATRACURIUM"
"M03AX01","BOTULINUM TOXIN"
"M03BA02","CARISOPRODOL"
"M03BA03","METHOCARBAMOL"
"M03BA53","METHOCARBAMOL, COMBINATIONS EXCL PSYCHOLEPTICS"
"M03BB53","CHLORZOXAZONE, COMBINATIONS EXCL PSYCHOLEPTICS"
"M03BC01","ORPHENADRINE (CITRATE)"
"M03BC51","ORPHENADRINE, COMBINATIONS"
"M03BX01","BACLOFEN"
"M03BX02","TIZANIDINE"
"M03BX08","CYCLOBENZAPRINE"
"M03CA01","DANTROLENE"
"M04AA01","ALLOPURINOL"
"M04AA03","FEBUXOSTAT"
"M04AB01","PROBENECID"
"M04AB02","SULFINPYRAZONE"
"M04AC01","COLCHICINE"
"M05BA01","ETIDRONIC ACID"
"M05BA02","CLODRONIC ACID"
"M05BA03","PAMIDRONIC ACID"
"M05BA04","ALENDRONIC ACID"
"M05BA06","IBANDRONIC ACID"
"M05BA07","RISEDRONIC ACID"
"M05BA08","ZOLEDRONIC ACID"
"M05BB01","ETIDRONIC ACID AND CALCIUM, SEQUENTIAL"
"M05BB02","RISEDRONIC ACID AND CALCIUM, SEQUENTIAL"
"M05BB03","ALENDRONIC ACID AND CHOLECALCIFEROL"
"M05BX04","DENOSUMAB"
"M09AB01","CHYMOPAPAIN"
"M09AB02","COLLAGENASE CLOSTRIDIUM HISTOLYTICUM"
"N01AB01","HALOTHANE"
"N01AB04","ENFLURANE"
"N01AB06","ISOFLURANE"
"N01AB07","DESFLURANE"
"N01AB08","SEVOFLURANE"
"N01AF01","METHOHEXITAL"
"N01AF03","THIOPENTAL"
"N01AH01","FENTANYL"
"N01AH02","ALFENTANIL"
"N01AH03","SUFENTANIL"
"N01AH05","ANILERIDINE"
"N01AH06","REMIFENTANIL"
"N01AH51","FENTANYL, COMBINATIONS"
"N01AX01","DROPERIDOL"
"N01AX03","KETAMINE"
"N01AX10","PROPOFOL"
"N01AX13","NITROUS OXIDE"
"N01AX63","NITROUS OXIDE,COMBINATIONS"
"N01BA02","PROCAINE"
"N01BA03","TETRACAINE"
"N01BA04","CHLOROPROCAINE"
"N01BA05","BENZOCAINE"
"N01BA20","COMBINATIONS,OF ANESTHETICS"
"N01BB01","BUPIVACAINE"
"N01BB02","LIDOCAINE"
"N01BB03","MEPIVACAINE"
"N01BB04","PRILOCAINE"
"N01BB09","ROPIVACAINE"
"N01BB20","COMBINATIONS"
"N01BB51","BUPIVACAINE, COMBINATIONS"
"N01BB52","LIDOCAINE, COMBINATIONS"
"N01BB53","MEPIVACAINE, COMBINATIONS"
"N01BB54","PRILOCAINE, COMBINATIONS"
"N01BB58","ARTICAINE, COMBINATIONS"
"N01BX03","PHENOL"
"N01BX04","CAPSAICIN"
"N02AA01","MORPHINE"
"N02AA02","OPIUM"
"N02AA03","HYDROMORPHONE"
"N02AA05","OXYCODONE"
"N02AA55","OXYCODONE, COMBINATIONS"
"N02AA59","CODEINE, COMBINATIONS EXCL. PSYCHOLEPTICS"
"N02AA79","CODEIN, COMBINATIONS WITH PSYCHOLEPTICS"
"N02AAXX","OXYMORPHONE"
"N02AB02","PETHIDINE"
"N02AB03","FENTANYL"
"N02AC04","DEXTROPROPOXYPHENE"
"N02AC54","DEXTROPROPOXYPHENE, COMB EXCL PSYCHOLEPT"
"N02AD01","PENTAZOCINE"
"N02AE01","BUPRENORPHINE"
"N02AF01","BUTORPHANOL"
"N02AF02","NALBUFINE"
"N02AX02","TRAMADOL"
"N02AX06","TAPENTADOL"
"N02AX52","TRAMADOL, COMBINATIONS"
"N02BA","SALICYLIC ACID AND DERIVATIVES"
"N02BA01","ACETYLSALICYLIC ACID"
"N02BA04","SODIUM SALICYLATE"
"N02BA06","SALICYLOYLSALICYLIC ACID"
"N02BA11","DIFLUNISAL"
"N02BA51","ACETYLSALICYLIC ACID, COMB EXCL PSYCHOLEPTICS"
"N02BA53","CHOLINE SALICYLATE, COMB. EXCL PSYCHOLEPTICS"
"N02BA71","ACETYLSALICYLIC ACID, COMB WITH PSYCHOLEPTICS"
"N02BB51","PHENAZONE, COMBINATIONS EXCL PSYCHOLEPTICS"
"N02BE01","ACETAMINOPHEN (PARACETAMOL)"
"N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS"
"N02BG04","FLOCTAFENINE"
"N02BG10","CANNABINOIDS"
"N02CA01","DIHYDROERGOTAMINE"
"N02CA02","ERGOTAMINE"
"N02CA04","METHYSERGIDE"
"N02CA52","ERGOTAMINE, COMBINATIONS EXCL. PSYCHOLEPTICS"
"N02CA72","ERGOTAMINE, COMBINATIONS WITH PSYCHOLEPTICS"
"N02CC01","SUMATRIPTAN"
"N02CC02","NARATRIPTAN"
"N02CC03","ZOLMITRIPTAN"
"N02CC04","RIZATRIPTAN"
"N02CC05","ALMOTRIPTAN"
"N02CC06","ELETRIPTAN"
"N02CC07","FROVATRIPTAN"
"N02CX","OTHER ANTIMIGRAINE PREPARATIONS"
"N02CX01","PIZOTIFEN"
"N02CX02","CLONIDINE"
"N03AA02","PHENOBARBITAL"
"N03AA03","PRIMIDONE"
"N03AB02","PHENYTOIN"
"N03AB05","FOSPHENYTOIN"
"N03AB52","PHENYTOIN, COMBINATIONS"
"N03AD01","ETHOSUXIMIDE"
"N03AD03","MESUXIMIDE"
"N03AE01","CLONAZEPAM"
"N03AF01","CARBAMAZEPINE"
"N03AF02","OXCARBAZEPINE"
"N03AF03","RUFINAMIDE"
"N03AF04","ESLICARBAZEPINE"
"N03AG01","VALPROIC ACID"
"N03AG04","VIGABATRIN"
"N03AX09","LAMOTRIGINE"
"N03AX11","TOPIRAMATE"
"N03AX12","GABAPENTIN"
"N03AX14","LEVETIRACETAM"
"N03AX16","PREGABALIN"
"N03AX17","STIRIPENTOL"
"N03AX18","LACOSAMIDE"
"N03AX22","Perampanel"
"N04AA01","TRIHEXYPHENIDYL"
"N04AA02","BIPERIDEN"
"N04AA04","PROCYCLIDINE"
"N04AA05","PROFENAMINE"
"N04AB02","ORPHENADRINE (CHLORIDE)"
"N04AC01","BENZATROPINE"
"N04BA02","LEVODOPA AND DECARBOXYLASE INHIBITOR"
"N04BA03","LEVODOPA,DECARBOXYLASE INHIBITOR, AND COMT INHIBITOR"
"N04BB01","AMANTADINE"
"N04BC01","BROMOCRIPTINE"
"N04BC02","PERGOLIDE"
"N04BC04","ROPINIROLE"
"N04BC05","PRAMIPEXOLE"
"N04BD01","SELEGILINE"
"N04BD02","RASAGILINE"
"N04BX","OTHER DOPAMINERGIC AGENTS"
"N04BX01","TOLCAPONE"
"N04BX02","ENTACAPONE"
"N05AA01","CHLORPROMAZINE"
"N05AA02","LEVOMEPROMAZINE"
"N05AA03","PROMAZINE"
"N05AB02","FLUPHENAZINE"
"N05AB03","PERPHENAZINE"
"N05AB04","PROCHLORPERAZINE"
"N05AB06","TRIFLUOPERAZINE"
"N05AB08","THIOPROPERAZINE"
"N05AC01","PERICIAZINE"
"N05AC02","THIORIDAZINE"
"N05AC03","MESORIDAZINE"
"N05AC04","PIPOTIAZINE"
"N05AD01","HALOPERIDOL"
"N05AD08","DROPERIDOL"
"N05AE04","ZIPRASIDONE"
"N05AE05","LURASIDONE"
"N05AF01","FLUPENTIXOL"
"N05AF04","TIOTIXENE"
"N05AF05","ZUCLOPENTHIXOL"
"N05AG01","FLUSPIRILENE"
"N05AG02","PIMOZIDE"
"N05AH01","LOXAPINE"
"N05AH02","CLOZAPINE"
"N05AH03","OLANZAPINE"
"N05AH04","QUETIAPINE"
"N05AH05","ASANEPINE"
"N05AN01","LITHIUM"
"N05AX08","RISPERIDONE"
"N05AX12","ARIPIPRAZOLE"
"N05AX13","PALIPERIDONE"
"N05BA01","DIAZEPAM"
"N05BA02","CHLORDIAZEPOXIDE"
"N05BA04","OXAZEPAM"
"N05BA05","CLORAZEPATE POTASSIUM"
"N05BA06","LORAZEPAM"
"N05BA08","BROMAZEPAM"
"N05BA09","CLOBAZAM"
"N05BA10","KETAZOLAM"
"N05BA12","ALPRAZOLAM"
"N05BB01","HYDROXYZINE"
"N05BC01","MEPROBAMATE"
"N05BE01","BUSPIRONE"
"N05CA","BARBITURATES, PLAIN"
"N05CA01","PENTOBARBITAL"
"N05CA02","AMOBARBITAL"
"N05CA06","SECOBARBITAL"
"N05CB01","COMBINATIONS OF BARBITURATES"
"N05CC01","CHLORAL HYDRATE"
"N05CC05","PARALDEHYDE"
"N05CD01","FLURAZEPAM"
"N05CD02","NITRAZEPAM"
"N05CD04","ESTAZOLAM"
"N05CD05","TRIAZOLAM"
"N05CD07","TEMAZEPAM"
"N05CD08","MIDAZOLAM"
"N05CF01","ZOPICLONE"
"N05CF02","ZOLPIDEM"
"N05CF03","ZALEPLON"
"N05CM05","SCOPOLAMINE"
"N05CM08","ETHCHLORVYNOL"
"N05CM09","Valerianae radix"
"N05CM18","DEXMEDETOMIDINE"
"N06AA01","DESIPRAMINE"
"N06AA02","IMIPRAMINE"
"N06AA04","CLOMIPRAMINE"
"N06AA06","TRIMIPRAMINE"
"N06AA09","AMITRIPTYLINE"
"N06AA10","NORTRIPTYLINE"
"N06AA11","PROTRIPTYLINE"
"N06AA12","DOXEPIN"
"N06AA17","AMOXAPINE"
"N06AA21","MAPROTILINE"
"N06AB03","FLUOXETINE"
"N06AB04","CITALOPRAM"
"N06AB05","PAROXETINE"
"N06AB06","SERTRALINE"
"N06AB08","FLUVOXAMINE"
"N06AB10","ESCITALOPRAM"
"N06AF03","PHENELZINE"
"N06AF04","TRANYLCYPROMINE"
"N06AG02","MOCLOBEMIDE"
"N06AX02","TRYPTOPHAN"
"N06AX05","TRAZODONE"
"N06AX06","NEFAZODONE"
"N06AX11","MIRTAZAPINE"
"N06AX12","BUPROPION"
"N06AX16","VENLAFAXINE"
"N06AX21","DULOXETINE"
"N06AX23","DESVENLAFAXINE"
"N06AX26","Vortioxetine"
"N06BA01","AMFETAMINE"
"N06BA02","DEXAMFETAMINE"
"N06BA04","METHYLPHENIDATE"
"N06BA05","PEMOLINE"
"N06BA07","MODAFINIL"
"N06BA09","ATOMOXETINE"
"N06BA12","LISDEXAMFETAMINE"
"N06BC01","CAFFEINE"
"N06BX","OTHER PSYCHOSTIMULANTS"
"N06BX13","IDEBENONE"
"N06CA01","AMITRIPTYLINE AND PSYCHOLEPTICS"
"N06DA02","DONEPEZIL"
"N06DA03","RIVASTIGMINE"
"N06DA04","GALANTAMINE"
"N06DX01","MEMANTINE"
"N07AA01","NEOSTIGMINE"
"N07AA02","PYRIDOSTIGMINE"
"N07AB01","CARBACHOL"
"N07AB02","BETHANECHOL"
"N07AX01","PILOCARPINE"
"N07BA01","NICOTINE"
"N07BA03","VARENICLINE"
"N07BB01","DISULFIRAM"
"N07BB02","CALCIUM CARBIMIDE"
"N07BB03","ACAMPROSATE"
"N07BB04","NALTREXONE"
"N07BC02","METHADONE"
"N07BC06","DIAMORPHINE"
"N07BC51","BUPRENORPHINE, COMBINATIONS"
"N07CA01","BETAHISTINE"
"N07CA03","FLUNARIZINE"
"N07XX02","RILUZOLE"
"N07XX04","HYDROXYBUTYRIC ACID"
"N07XX06","TETRABENAZINE"
"N07XX07","FAMPRIDINE"
"N07XX09","Dimethyl fumarate"
"P01AA","HYDROXYQUINOLINE DERIVATIVES"
"P01AB01","METRONIDAZOLE"
"P01AX06","ATOVAQUONE"
"P01AX07","TRIMETREXATE"
"P01BA01","CHLOROQUINE"
"P01BA02","HYDROXYCHLOROQUINE"
"P01BA03","PRIMAQUINE"
"P01BB01","PROGUANIL"
"P01BB51","PROGUANIL, COMBINATIONS *"
"P01BC01","QUININE"
"P01BC02","MEFLOQUINE"
"P01BD01","PYRIMETHAMINE"
"P01BD51","PYRIMETHAMINE, COMBINATIONS"
"P01BX01","HALOFANTRINE"
"P01CX01","PENTAMIDINE ISETHIONATE"
"P02BA01","PRAZIQUANTEL"
"P02CA01","MEBENDAZOLE"
"P02CA02","TIABENDAZOLE"
"P02CB01","PIPERAZINE"
"P02CB02","DIETHYLCARBAMAZINE"
"P02CC01","PYRANTEL"
"P02CE01","LEVAMISOLE"
"P02CX01","PYRVINIUM"
"P03AB02","LINDANE"
"P03AC04","PERMETHRIN"
"P03AC51","PYRETHRUM, COMBINATIONS"
"P03AC52","BIOALLETHRIN, COMBINATIONS"
"P03AX","OTHER ECTOPARASITICIDES, INCL SCABICIDES"
"P03AX05","Dimeticone"
"QA07AA51","NEOMYCIN, COMBINATIONS"
"QA07BC30","COMBINATIONS"
"QA11CC05","COLECALCIFEROL"
"QA11JB","VITAMINS WITH MINERALS"
"QA14AA02","STANOZOLOL"
"QB06AA04","CHYMOTRYPSIN"
"QC04AB02","TOLAZOLINE"
"QD08AC02","CHLORHEXIDINE"
"QD08AK05","MERCURY, METALLIC"
"QG03AC03","LEVONORGESTREL"
"QH02AA03","DESOXYCORTONE"
"QH02BX90","DEXAMETHASONE, COMBINATIONS"
"QJ01AA53","CHLORTETRACYCLINE, COMBINATIONS"
"QJ01CE09","PROCAINE PENICILLIN"
"QJ01CE30","COMBINATIONS"
"QJ01EW13","SULFADOXINE AND TRIMETHOPRIM"
"QJ01FA01","ERYTHROMYCIN"
"QJ01GB","OTHER AMINOGLYCOSIDES"
"QJ01RA01","PENICILLINS, COMBINATIONS WITH OTHER ANTIBACTERIALS"
"QN01AX03","KETAMINE"
"QN02BB02","METAMIZOLE SODIUM"
"QN05CA01","PENTOBARBITAL"
"QP51AH03","MONENSIN"
"QP54AA01","IVERMECTIN"
"QS02AA30","ANTIINFECTIVES, COMBINATIONS"
"QS03AA08","CHLORAMPHENICOL"
"QS03CA04","HYDROCORTISONE AND ANTIINFECTIVES"
"R01AA03","EPHEDRINE"
"R01AA04","PHENYLEPHRINE"
"R01AA05","OXYMETAZOLINE"
"R01AA07","XYLOMETAZOLINE"
"R01AA08","NAPHAZOLINE"
"R01AA14","EPINEPHRINE"
"R01AB01","PHENYLEPHRINE"
"R01AB02","NAPHAZOLINE"
"R01AB05","EPHEDRINE"
"R01AC01","CROMOGLICIC ACID"
"R01AC02","LEVOCABASTINE"
"R01AD01","BECLOMETHASONE"
"R01AD04","FLUNISOLIDE"
"R01AD05","BUDESONIDE"
"R01AD08","FLUTICASONE"
"R01AD09","MOMETASONE"
"R01AD11","TRIAMCINOLONE"
"R01AD12","FLUTICASONE FUROATE"
"R01AX03","IPRATROPIUM BROMIDE"
"R01AX10","VARIOUS"
"R01AX30","COMBINATIONS"
"R01BA","SYMPATHOMIMETICS"
"R01BA02","PSEUDOEPHEDRINE"
"R01BA03","PHENYLEPHRINE"
"R01BA51","PHENYLPROPANOLAMINE, COMBINATIONS"
"R01BA52","PSEUDOEPHEDRINE, COMBINATIONS"
"R01BA53","PHENYLEPHRINE, COMBINATIONS"
"R02AA02","DEQUALINIUM"
"R02AA03","DICHLOROBENZYL ALCOHOL"
"R02AA06","CETYLPYRIDINIUM"
"R02AA12","HEXYLRESORCINOL"
"R02AA19","PHENOL"
"R02AA20","VARIOUS"
"R02AA30","COMBINATION OF ANTISEPTICS"
"R02AA56","CETYLPYRIDINIUM, COMBINATIONS"
"R02AB20","COMBINATION OF ANTIBIOTICS"
"R02AD01","BENZOCAINE"
"R02AD02","LIDOCAINE"
"R02AD03","COCAINE"
"R02AD04","DYCLONINE"
"R02AD51","BENZOCAINE, COMBINATIONS"
"R03AA01","EPINEPHRINE"
"R03AB02","ISOPRENALINE"
"R03AB03","ORCIPRENALINE"
"R03AC02","SALBUTAMOL"
"R03AC03","TERBUTALINE"
"R03AC04","FENOTEROL"
"R03AC08","PIRBUTEROL"
"R03AC12","SALMETEROL"
"R03AC13","FORMOTEROL"
"R03AC16","PROCATEROL"
"R03AC18","INDACATEROL"
"R03AK04","SALBUTAMOL AND SODIUM CROMOGLICATE"
"R03AK06","SALMETEROL AND FLUTICASONE"
"R03AK07","FORMOTEROL AND BUDESONIDE"
"R03AK09","FORMOTEROL AND MOMETASONE"
"R03AK10","VILANTEROL AND FLUTICASONE FUROATE"
"R03AL01","FENOTEROL AND IPRATROPIUM BROMIDE"
"R03AL02","SALBUTAMOL AND IPRATROPIUM BROMIDE"
"R03AL03","Vilanterol and Umeclidinium Bromide"
"R03AL04","Indacaterol and Glycopyrronium Bromide"
"R03BA01","BECLOMETASONE"
"R03BA02","BUDESONIDE"
"R03BA03","FLUNISOLIDE"
"R03BA05","FLUTICASONE"
"R03BA06","TRIAMCINOLONE"
"R03BA07","MOMETASONE"
"R03BA08","CICLESONIDE"
"R03BB01","IPRATROPIUM BROMIDE"
"R03BB04","TIOTROPIUM BROMIDE"
"R03BB05","Aclidinium Bromide"
"R03BB06","Glycopyrronium bromide"
"R03BC01","CROMOGLICIC ACID"
"R03BC03","NEDOCROMIL"
"R03CA02","EPHEDRINE"
"R03CB03","ORCIPRENALINE"
"R03CC02","SALBUTAMOL"
"R03CC03","TERBUTALINE"
"R03CC04","FENOTEROL"
"R03DA01","DIPROPHYLLINE"
"R03DA02","CHOLINE THEOPHYLLINATE"
"R03DA04","THEOPHYLLINE"
"R03DA05","AMINOPHYLLINE"
"R03DA54","THEOPHYLLINE, COMBINATIONS EXCL. PSYCHOLEPTICS"
"R03DB04","THEOPHYLLINE AND ADRENERGICS"
"R03DC01","ZAFIRLUKAST"
"R03DC03","MONTELUKAST"
"R03DX05","OMALIZUMAB"
"R03DX07","ROFLUMILAST"
"R05CA02","POTASSIUM IODIDE"
"R05CA03","GUAIFENESIN"
"R05CA10","COMBINATIONS"
"R05CB01","ACETYLCYSTEINE"
"R05CB13","DORNASE ALFA (DESOXYRIBONUCLEASE)"
"R05DA03","HYDROCODONE"
"R05DA04","CODEINE"
"R05DA09","DEXTROMETHORPHAN"
"R05DA20","COMBINATIONS"
"R05DA54","CODEINE, COMBINATIONS *"
"R05DB10","CLOFEDANOL"
"R05FA02","OPIUM DERIVATIVES AND EXPECTORANTS"
"R05FB02","COUGH SUPPRESSANTS AND EXPECTORANTS"
"R05X","Other cold preparations"
"R06AA02","DIPHENHYDRAMINE"
"R06AA04","CLEMASTINE"
"R06AA09","DOXYLAMINE"
"R06AA52","DIPHENHYDRAMINE, COMBINATIONS"
"R06AA59","DOXYLAMINE, COMBINATIONS"
"R06AB01","BROMPHENIRAMINE"
"R06AB02","DEXCHLORPHENIRAMINE"
"R06AB04","CHLORPHENIRAMINE"
"R06AC04","TRIPELENNAMINE"
"R06AD01","ALIMEMAZINE"
"R06AD02","PROMETHAZINE"
"R06AE03","CYCLIZINE"
"R06AE05","MECLOZINE"
"R06AE07","CETIRIZINE"
"R06AE55","MECLOZINE, COMBINATIONS"
"R06AX02","CYPROHEPTADINE"
"R06AX09","AZATADINE"
"R06AX11","ASTEMIZOLE"
"R06AX12","TERFENADINE"
"R06AX13","LORATADINE"
"R06AX17","KETOTIFEN"
"R06AX26","FEXOFENADINE"
"R06AX27","DESLORATADINE"
"R07AA01","COLFOSCERIL PALMITATE"
"R07AA02","NATURAL PHOSPHOLIPIDS"
"R07AA30","COMBINATIONS"
"R07AB01","DOXAPRAM"
"R07AX","OTHER RESPIRATORY SYSTEM PRODUCTS"
"R07AX01","NITRIC OXIDE"
"R07AX02","IVACAFTOR"
"S01AA","ANTIBIOTICS"
"S01AA01","CHLORAMPHENICOL"
"S01AA02","CHLORTETRACYCLINE"
"S01AA07","FRAMYCETIN"
"S01AA09","TETRACYCLINE"
"S01AA11","GENTAMICIN"
"S01AA12","TOBRAMYCIN"
"S01AA13","FUSIDIC ACID"
"S01AA17","ERYTHROMYCIN"
"S01AA30","COMBINATIONS OF DIFFERENT ANTIBIOTICS"
"S01AB04","SULFACETAMIDE"
"S01AB54","SULFACETAMIDE, COMBINATIONS"
"S01AD01","IDOXURIDINE"
"S01AD02","TRIFLURIDINE"
"S01AD09","GANCICLOVIR"
"S01AE01","OFLOXACIN"
"S01AE03","CIPROFLOXACIN"
"S01AE06","GATIFLOXACIN"
"S01AE07","MOXIFLOXACIN"
"S01AE08","BESIFLOXACIN"
"S01AX07","SODIUM BORATE"
"S01AX12","NORFLOXACIN"
"S01BA","CORTICOSTEROIDS, PLAIN"
"S01BA01","DEXAMETHASONE"
"S01BA02","HYDROCORTISONE"
"S01BA04","PREDNISOLONE"
"S01BA05","TRIAMCINOLONE"
"S01BA07","FLUOROMETHOLONE"
"S01BA08","MEDRYSONE"
"S01BA13","RIMEXOLONE"
"S01BA14","LOTEPREDNOL"
"S01BA15","FLUOCINOLONE ACETONIDE"
"S01BC01","INDOMETACIN"
"S01BC03","DICLOFENAC"
"S01BC04","FLURBIPROFEN"
"S01BC05","KETOROLAC"
"S01BC10","NEPAFENAC"
"S01CA01","DEXAMETHASONE AND ANTIINFECTIVES"
"S01CA02","PREDNISOLONE AND ANTIINFECTIVES"
"S01CA03","HYDROCORTISONE AND ANTIINFECTIVES"
"S01CA05","BETAMETHASONE AND ANTIINFECTIVES"
"S01CA07","FLUOROMETHOLONE AND ANTIINFECTIVES"
