"10","N05CA06","SECOBARBITAL","28:24.04","BARBITURATES"
"50615","","","88:29.00*","MINERALS"
"50616","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS"
"50617","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS"
"50618","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS"
"50619","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS"
"5062","N01AX63","NITROUS OXIDE,COMBINATIONS","28:04.16","INHALATION ANESTHETICS"
"50621","M01AC02","TENOXICAM","28:08.04.92","OTHER NONSTEROIDAL ANTIIMFLAMMATORY AGENTS"
"5063","A12CE","SELENIUM","88:29.00*","MINERALS"
"50633","R01AC01","CROMOGLICIC ACID","48:10.32","MAST-CELL STABILIZERS"
"5064","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C"
"50647","","","92:01.00*","HERBS AND NATURAL PRODUCTS"
"50648","N02BE01","ACETAMINOPHEN (PARACETAMOL)","28:08.92","MISCELLANEOUS ANALGESICS AND ANTIPYRETICS"
"5065","D07AC11","AMCINONIDE","84:06.00","ANTI-INFLAMMATORY AGENTS"
"50654","A01AA01","SODIUM FLUORIDE","34:00.00","DENTAL AGENTS"
"50654","A01AA01","SODIUM FLUORIDE","52:28.00","MOUTHWASHES AND GARGLES"
"5066","D07AC11","AMCINONIDE","84:06.00","ANTI-INFLAMMATORY AGENTS"
"50663","A11GA01","ASCORBIC ACID (VIT C)","88:28.01*","VITAMINS & MINERALS"
"50664","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS"
"50665","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS"
"50666","J05AB01","ACYCLOVIR","08:18.32","NUCLEOSIDES AND NUCLEOTIDES"
"50667","J05AB01","ACYCLOVIR","08:18.32","NUCLEOSIDES AND NUCLEOTIDES"
"50668","A01AA02","SODIUM MONOFLUOROPHOSPHATE","34:00.00","DENTAL AGENTS"
"50669","A01AA02","SODIUM MONOFLUOROPHOSPHATE","34:00.00","DENTAL AGENTS"
"5067","V08AA01","DIATRIZOIC ACID","36:68.00","ROENTGENOGRAPHY"
"50670","A12CE","SELENIUM","88:29.00*","MINERALS"
"50671","A12CE","SELENIUM","88:29.00*","MINERALS"
"50673","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"50674","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"50675","D02BA","PROTECTIVES AGAINST UV-RADIATION FOR TOPICAL USE","84:80.00","SUNSCREEN AGENTS"
"50676","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"50677","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"50678","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"5068","V08AA01","DIATRIZOIC ACID","36:68.00","ROENTGENOGRAPHY"
"50680","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"50681","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"50682","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"50683","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"50684","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION"
"50685","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION"
"50686","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION"
"50687","R06AA04","CLEMASTINE","04:04.04","ETHANOLAMINE DERIVATIVES"
"50688","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"50689","A04AA04","DOLASETRON","56:22.20","5-HT3 RECEPTOR ANTAGONISTS"
"50690","A04AA04","DOLASETRON","56:22.20","5-HT3 RECEPTOR ANTAGONISTS"
"50691","A04AA04","DOLASETRON","56:22.20","5-HT3 RECEPTOR ANTAGONISTS"
"50693","R01BA","SYMPATHOMIMETICS","12:12.12","ALPHA-AND BETA-ADRENERGIC AGONISTS"
"5070","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS"
"50701","A10BA02","METFORMIN","68:20.04","BIGUANIDES"
"50705","","","88:28.00","MULTIVITAMIN PREPARATIONS"
"5071","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS"
"50710","A01AA","CARIES PROPHYLACTIC AGENTS","34:00.00","DENTAL AGENTS"
"50716","A11BA","MULTIVITAMINS, PLAIN","88:28.00","MULTIVITAMIN PREPARATIONS"
"50717","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS"
"50718","A12CB01","ZINC SULPHATE","88:29.00*","MINERALS"
"50723","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS"
"50724","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS"
"50725","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C"
"50726","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"50727","D08AC02","CHLORHEXIDINE","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES"
"50729","A11JA","COMBINATIONS OF VITAMINS","88:28.00","MULTIVITAMIN PREPARATIONS"
"50730","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS"
"50733","A12AX","CALCIUM, COMBINATIONS WITH VITAMIN D AND/OR OTHER DRUGS","88:28.01*","VITAMINS & MINERALS"
"50734","A02BX13","ALGINIC ACID","56:04.00","ANTACIDS AND ADSORBENTS"
"50735","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS"
"50736","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS"
"50737","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS"
"50739","A01AA01","SODIUM FLUORIDE","34:00.00","DENTAL AGENTS"
"5074","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"50740","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS"
"50741","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)"
"50743","A06AB20","CONTACT LAXATIVES IN COMBINATION","56:12.00","CATHARTICS AND LAXATIVES"
"50744","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS"
"50746","R03AC02","SALBUTAMOL","12:12.08.12","SELECTIVE BETA 2-ADRENERGIC AGONISTS"
"50748","J01DC04","CEFACLOR","08:12.06.08","SECOND GENERATION CEPHALOSPORINS"
"50749","J01DC04","CEFACLOR","08:12.06.08","SECOND GENERATION CEPHALOSPORINS"
"5075","A11HA03","TOCOPHEROL (VIT E)","88:28.01*","VITAMINS & MINERALS"
"50750","C10AA02","LOVASTATIN","24:06.08","HMG-COA REDUCTASE INHIBITORS"
"50753","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS"
"50761","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS"
"50767","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS"
"50768","","","92:01.00*","HERBS AND NATURAL PRODUCTS"
"50769","A11GA01","ASCORBIC ACID (VIT C)","88:28.01*","VITAMINS & MINERALS"
"5077","A02AC01","CALCIUM CARBONATE","56:04.00","ANTACIDS AND ADSORBENTS"
"50770","D08AC52","CHLORHEXIDINE, COMBINATIONS","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES"
"50774","","","92:01.00*","HERBS AND NATURAL PRODUCTS"
"50781","G03GA05","FOLLITROPIN ALFA","68:18.00","GONADOTROPINS"
"50782","G03GA05","FOLLITROPIN ALFA","68:18.00","GONADOTROPINS"
"50784","N02BE01","ACETAMINOPHEN (PARACETAMOL)","28:08.92","MISCELLANEOUS ANALGESICS AND ANTIPYRETICS"
"50785","N02BE01","ACETAMINOPHEN (PARACETAMOL)","28:08.92","MISCELLANEOUS ANALGESICS AND ANTIPYRETICS"
"50786","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS"
"50789","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C"
"5079","A01AA01","SODIUM FLUORIDE","34:00.00","DENTAL AGENTS"
"50790","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"50791","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"50792","J06BA02","IMMUNOGLOBULINS, NORMAL HUMAN, FOR INTRAVASC. ADM.","80:04.00","SERUMS"
"50797","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C"
"508","J01AA07","TETRACYCLINE","08:12.24","TETRACYCLINES"
"5080","A12CB01","ZINC SULPHATE","88:29.00*","MINERALS"
"50800","R01AX10","VARIOUS","52:92.00","EENT DRUGS, MISCELLANEOUS"
"50801","A03FA03","DOMPERIDONE","56:32.00","PROKINETIC AGENTS"
"50803","N04BD01","SELEGILINE","28:36.32","MONOAMINE OXIDASE B INHIBITORS"
"50805","","","92:01.00*","HERBS AND NATURAL PRODUCTS"
"5081","N03AA03","PRIMIDONE","28:12.04","BARBITURATES"
"5082","N03AA03","PRIMIDONE","28:12.04","BARBITURATES"
"50825","C10AB05","FENOFIBRATE","24:06.06","FRIBIC ACID DERIVATIVES"
"50827","A01AA01","SODIUM FLUORIDE","34:00.00","DENTAL AGENTS"
"50828","A01AA01","SODIUM FLUORIDE","34:00.00","DENTAL AGENTS"
"50829","A01AA01","SODIUM FLUORIDE","34:00.00","DENTAL AGENTS"
"50846","A09AA04","TILACTASE","56:16.00","DIGESTANTS"
"5085","A07DA03","LOPERAMIDE","56:08.00","ANTIDIARRHEA AGENTS"
"50853","R05FA02","OPIUM DERIVATIVES AND EXPECTORANTS","48:08.00","ANTITUSSIVES"
"50854","A06AD11","LACTULOSE","56:12.00","CATHARTICS AND LAXATIVES"
"50855","A11HA03","TOCOPHEROL (VIT E)","88:20.00","VITAMIN E"
"50858","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"5086","A02BA01","CIMETIDINE","56:28.12","HISTAMINE H2-ANTAGONISTS"
"50861","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS"
"50862","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS"
"50863","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS"
"50865","D10AB02","SULPHUR","84:28.00","KERATOLYTIC AGENTS"
"50866","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)"
"50869","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"5087","A01AA","CARIES PROPHYLACTIC AGENTS","34:00.00","DENTAL AGENTS"
"50872","A11GA01","ASCORBIC ACID (VIT C)","88:28.01*","VITAMINS & MINERALS"
"50880","A02BX13","ALGINIC ACID","56:04.00","ANTACIDS AND ADSORBENTS"
"50881","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS"
"50890","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS"
"50894","","","88:29.00*","MINERALS"
"50895","","","88:29.00*","MINERALS"
"50896","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS"
"50897","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS"
"50898","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C"
"509","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C"
"5090","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)"
"50900","A11HA02","PYRIDOXINE (VIT B6)","88:08.00","VITAMIN B COMPLEX"
"50901","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS"
"50906","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS"
"50909","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS"
"50911","A02BA03","FAMOTIDINE","56:28.12","HISTAMINE H2-ANTAGONISTS"
"50914","D04AB04","BENZOCAINE","84:08.00","ANTIPRURITICS AND LOCAL ANESTHETICS"
"50915","D11AF","WART AND ANTI-CORN PREPARATIONS","84:28.00","KERATOLYTIC AGENTS"
"5092","A11HA03","TOCOPHEROL (VIT E)","88:20.00","VITAMIN E"
"50925","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS"
"5093","A11HA03","TOCOPHEROL (VIT E)","88:20.00","VITAMIN E"
"50937","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"50938","R05CA10","COMBINATIONS","48:16.00","EXPECTORANTS"
"50939","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"5094","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C"
"50941","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS"
"50947","A11GB","ASCORBIC ACID (VIT C), COMBINATIONS","88:28.01*","VITAMINS & MINERALS"
"50948","C01EB09","UBIDECARENONE","88:30.00*","OTHER NUTRITIONAL AGENTS"
"5095","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C"
"5096","A06AB06","SENNA GLYCOSIDES","56:12.00","CATHARTICS AND LAXATIVES"
"50964","C01EB09","UBIDECARENONE","88:30.00*","OTHER NUTRITIONAL AGENTS"
"50965","C01EB09","UBIDECARENONE","88:30.00*","OTHER NUTRITIONAL AGENTS"
"50966","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS"
"50968","A06AB07","CASCARA","56:12.00","CATHARTICS AND LAXATIVES"
"5097","A06AB06","SENNA GLYCOSIDES","56:12.00","CATHARTICS AND LAXATIVES"
"50970","A11JA","COMBINATIONS OF VITAMINS","88:04.00","VITAMIN A"
"50971","A12CE","SELENIUM","88:29.00*","MINERALS"
"50974","A01AA51","SODIUM FLUORIDE, COMBINATIONS","34:00.00","DENTAL AGENTS"
"50976","L01CD01","PACLITAXEL","10:00.00","ANTINEOPLASTIC AGENTS"
"50977","D11AA","ANTIHIDROTICS","84:12.00","ASTRINGENTS AND DEODORANTS"
"50978","D11AA","ANTIHIDROTICS","84:12.00","ASTRINGENTS AND DEODORANTS"
"5098","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)"
"50980","D11AA","ANTIHIDROTICS","84:12.00","ASTRINGENTS AND DEODORANTS"
"50983","D11AA","ANTIHIDROTICS","84:12.00","ASTRINGENTS AND DEODORANTS"
"50984","D11AA","ANTIHIDROTICS","84:12.00","ASTRINGENTS AND DEODORANTS"
"50986","N05CD07","TEMAZEPAM","28:24.08","BENZODIAZEPINES"
"50987","N05CD07","TEMAZEPAM","28:24.08","BENZODIAZEPINES"
"50989","A01AA01","SODIUM FLUORIDE","34:00.00","DENTAL AGENTS"
"5099","V03AN01","OXYGEN","92:00.00","MISCELLANEOUS THERAPEUTIC AGENTS"
"50992","A02AD01","ORDINARY SALT COMBINATIONS","56:04.00","ANTACIDS AND ADSORBENTS"
"50996","A11CC05","COLECALCIFEROL","88:16.00","VITAMIN D"
"50998","A11EA","VITAMIN B-COMPLEX, PLAIN","88:08.00","VITAMIN B COMPLEX"
"51","A06AC05","LINSEED","56:12.00","CATHARTICS AND LAXATIVES"
"510","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C"
"5100","A11CB","VITAMIN A AND D IN COMBINATION","88:04.01*","VITAMIN A AND D"
"51003","","","88:29.00*","MINERALS"
"51008","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"5101","A12CE02","SODIUM SELENITE","88:29.00*","MINERALS"
"51011","D02BA","PROTECTIVES AGAINST UV-RADIATION FOR TOPICAL USE","84:80.00","SUNSCREEN AGENTS"
"51012","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"51013","","","92:01.00*","HERBS AND NATURAL PRODUCTS"
"51014","D08AX08","ETHANOL","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES"
"51015","A01AA02","SODIUM MONOFLUOROPHOSPHATE","34:00.00","DENTAL AGENTS"
"51016","B03BB01","FOLIC ACID","88:08.00","VITAMIN B COMPLEX"
"51017","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS"
"5102","A01AD","OTHER AGENTS FOR LOCAL ORAL TREATMENT","34:00.00","DENTAL AGENTS"
"51022","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C"
"51025","L03AB05","INTERFERON ALFA-2B","08:18.20","INTERFERONS"
"51025","L03AB05","INTERFERON ALFA-2B","10:00.00","ANTINEOPLASTIC AGENTS"
"51029","G03GA06","FOLLITROPIN BETA","68:18.00","GONADOTROPINS"
"51030","G03GA06","FOLLITROPIN BETA","68:18.00","GONADOTROPINS"
"51035","","","92:01.00*","HERBS AND NATURAL PRODUCTS"
"51038","","","92:01.00*","HERBS AND NATURAL PRODUCTS"
"51041","M01AB05","DICLOFENAC","28:08.04.92","OTHER NONSTEROIDAL ANTIIMFLAMMATORY AGENTS"
"51043","D04AB01","LIDOCAINE","84:08.00","ANTIPRURITICS AND LOCAL ANESTHETICS"
"51046","R03BC01","CROMOGLICIC ACID","48:10.32","MAST-CELL STABILIZERS"
"51047","B05XA01","POTASSIUM CHLORIDE","40:12.00","REPLACEMENT PREPARATIONS"
"51052","C08DA01","VERAPAMIL","24:28.92","MISCELLANEOUS CALCIUM-CHANNEL BLOCKING AGENTS"
"51053","C08DA01","VERAPAMIL","24:28.92","MISCELLANEOUS CALCIUM-CHANNEL BLOCKING AGENTS"
"51055","R06AX17","KETOTIFEN","04:92.00","OTHER ANTIHISTAMINES"
"51056","R06AX17","KETOTIFEN","04:92.00","OTHER ANTIHISTAMINES"
"51063","N06AA10","NORTRIPTYLINE","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS"
"51064","N06AA10","NORTRIPTYLINE","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS"
"51067","C01BB02","MEXILETINE","24:04.04.08","CLASS IB ANTIARRYTHMICS"
"51069","C01BB02","MEXILETINE","24:04.04.08","CLASS IB ANTIARRYTHMICS"
"5107","N03AF01","CARBAMAZEPINE","28:12.92","MISCELLANEOUS ANTICONVULSANTS"
"51071","D08AE04","TRICLOSAN","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES"
"51072","N06BC01","CAFFEINE","28:20.32","Respiratory and CNS Stimulants"
"51074","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS"
"51075","A11JC","VITAMINS, OTHER COMBINATIONS","88:28.01*","VITAMINS & MINERALS"
"51077","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS"
"51078","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS"
"51082","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"51084","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"51085","","","92:01.00*","HERBS AND NATURAL PRODUCTS"
"51086","","","92:01.00*","HERBS AND NATURAL PRODUCTS"
"51092","S01ED03","LEVOBUNOLOL","52:40.08","BETA-ADRENERGIC AGENTS"
"51093","S01ED03","LEVOBUNOLOL","52:40.08","BETA-ADRENERGIC AGENTS"
"51095","A11EX","VITAMIN B-COMPLEX, OTHER COMBINATIONS","88:28.01*","VITAMINS & MINERALS"
"51097","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS"
"51099","D02BA","PROTECTIVES AGAINST UV-RADIATION FOR TOPICAL USE","84:80.00","SUNSCREEN AGENTS"
"511","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C"
"51101","A12AX","CALCIUM, COMBINATIONS WITH VITAMIN D AND/OR OTHER DRUGS","88:28.01*","VITAMINS & MINERALS"
"51102","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"51104","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"51105","D02BA","PROTECTIVES AGAINST UV-RADIATION FOR TOPICAL USE","84:80.00","SUNSCREEN AGENTS"
"51106","","","88:29.00*","MINERALS"
"51107","A01AD11","VARIOUS","52:04.92","MISCELLANEOUS ANTI-INFECTIVES"
"51109","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)"
"51111","D04AX","OTHER ANTIPRURITICS","84:08.00","ANTIPRURITICS AND LOCAL ANESTHETICS"
"51114","C01EB09","UBIDECARENONE","88:30.00*","OTHER NUTRITIONAL AGENTS"
"51115","C01EB09","UBIDECARENONE","88:30.00*","OTHER NUTRITIONAL AGENTS"
"51116","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C"
"51117","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C"
"51118","B03BB51","FOLIC ACID, COMBINATIONS","88:28.00","MULTIVITAMIN PREPARATIONS"
"51119","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C"
"51120","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C"
"51122","C08DB01","DILTIAZEM","24:28.92","MISCELLANEOUS CALCIUM-CHANNEL BLOCKING AGENTS"
"51123","C08DB01","DILTIAZEM","24:28.92","MISCELLANEOUS CALCIUM-CHANNEL BLOCKING AGENTS"
"51124","C08DB01","DILTIAZEM","24:28.92","MISCELLANEOUS CALCIUM-CHANNEL BLOCKING AGENTS"
"51126","A01AA51","SODIUM FLUORIDE, COMBINATIONS","34:00.00","DENTAL AGENTS"
"51127","A12AX","CALCIUM, COMBINATIONS WITH VITAMIN D AND/OR OTHER DRUGS","88:29.00*","MINERALS"
"51128","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"51131","","","92:01.00*","HERBS AND NATURAL PRODUCTS"
"51133","D02BA","PROTECTIVES AGAINST UV-RADIATION FOR TOPICAL USE","84:80.00","SUNSCREEN AGENTS"
"51134","","","92:01.00*","HERBS AND NATURAL PRODUCTS"
"51146","G03DA02","MEDROXYPROGESTERONE","68:32.00","PROGESTINS"
"51147","G03DA02","MEDROXYPROGESTERONE","68:32.00","PROGESTINS"
"51148","G03DA02","MEDROXYPROGESTERONE","68:32.00","PROGESTINS"
"5115","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C"
"51153","A11EA","VITAMIN B-COMPLEX, PLAIN","88:08.00","VITAMIN B COMPLEX"
"51154","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51155","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"5116","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C"
"51161","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51162","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51165","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51167","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51168","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"5117","A01AD11","VARIOUS","52:16.00","LOCAL ANESTHETICS"
"51171","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51172","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51173","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51175","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS"
"51176","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51177","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51178","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51179","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"5118","N06AX05","TRAZODONE","28:16.04.24","SEROTONIN MODULATORS"
"51180","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51181","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51183","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51184","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51185","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51186","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51187","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51188","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51189","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"5119","N06AX05","TRAZODONE","28:16.04.24","SEROTONIN MODULATORS"
"51190","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51191","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51192","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51193","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51194","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51195","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51196","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51197","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51198","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"512","R06AB04","CHLORPHENIRAMINE","04:04.20","PROPYLAMINE DERIVATIVES"
"51200","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51201","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51203","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51204","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51205","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"51215","R03AC02","SALBUTAMOL","12:12.08.12","SELECTIVE BETA 2-ADRENERGIC AGONISTS"
"51216","R03AC02","SALBUTAMOL","12:12.08.12","SELECTIVE BETA 2-ADRENERGIC AGONISTS"
"51217","R03BB01","IPRATROPIUM BROMIDE","12:08.08","ANTIMUSCARINICS ANTISPASMODICS"
